source_area,target_area,edge_count,unique_importer_count
services,platform,195,106
routes,services,120,52
routes,shared,116,58
services,shared,107,73
routes,platform,89,48
core,platform,70,31
services,core,64,54
services,lib,62,61
core,services,47,23
routes,transport,46,38
routes,lib,42,42
transport,platform,39,18
core,shared,35,20
transport,services,27,14
platform,services,23,13
platform,shared,23,15
transport,shared,23,12
core,lib,20,20
routes,core,19,14
mcp,services,12,4
platform,lib,12,11
config,platform,9,8
transport,lib,8,8
utils,platform,8,8
platform,core,7,6
services,dag,7,5
lib,platform,6,4
workers,core,6,2
workers,services,6,3
workers,shared,6,2
middleware,transport,5,5
root,core,5,3
root,services,5,2
workers,platform,5,2
mcp,core,4,2
mcp,shared,4,3
middleware,services,4,1
middleware,shared,4,1
root,transport,4,1
routes,config,4,3
routes,mcp,4,2
routes,stores,4,3
services,dispatcher,4,3
services,routes,4,4
transport,core,4,4
db,core,3,3
dispatcher,platform,3,3
mcp,lib,3,3
mcp,platform,3,3
mcp,stores,3,2
platform,transport,3,2
routes,dag,3,3
routes,dispatcher,3,2
services,mcp,3,2
services,transport,3,3
services,workers,3,2
analytics,platform,2,2
core,analytics,2,1
dag,utils,2,1
jobs,dag,2,2
jobs,workers,2,2
platform,workers,2,2
queue,core,2,1
queue,platform,2,1
root,platform,2,1
root,shared,2,1
shared,middleware,2,1
shared,platform,2,2
stores,platform,2,2
utils,transport,2,2
workers,dag,2,1
workers,lib,2,2
workers,utils,2,1
agents,shared,1,1
controllers,brain,1,1
core,config,1,1
dag,core,1,1
dag,jobs,1,1
dag,shared,1,1
dag,workers,1,1
dispatcher,core,1,1
dispatcher,services,1,1
jobs,core,1,1
jobs,services,1,1
jobs,shared,1,1
lib,services,1,1
lib,shared,1,1
lib,transport,1,1
mcp,config,1,1
mcp,dag,1,1
mcp,routes,1,1
mcp,trinity,1,1
memory,core,1,1
middleware,platform,1,1
modules,services,1,1
platform,config,1,1
root,routes,1,1
routes,trinity,1,1
server,brain,1,1
server,platform,1,1
services,config,1,1
services,queue,1,1
shared,core,1,1
shared,lib,1,1
shared,services,1,1
shared,transport,1,1
stores,services,1,1
transport,stores,1,1
trinity,config,1,1
trinity,core,1,1
trinity,platform,1,1
trinity,services,1,1
workers,agents,1,1
workers,jobs,1,1
workers,routes,1,1
